Link Name,Center of Mass X,Center of Mass Y,Center of Mass Z,Center of Mass Roll,Center of Mass Pitch,Center of Mass Yaw,Mass,Moment Ixx,Moment Ixy,Moment Ixz,Moment Iyy,Moment Iyz,Moment Izz,Visual X,Visual Y,Visual Z,Visual Roll,Visual Pitch,Visual Yaw,Mesh Filename,Color Red,Color Green,Color Blue,Color Alpha,Collision X,Collision Y,Collision Z,Collision Roll,Collision Pitch,Collision Yaw,Collision Mesh Filename,Material Name,SW Components,Coordinate System,Axis Name,Joint Name,Joint Type,Joint Origin X,Joint Origin Y,Joint Origin Z,Joint Origin Roll,Joint Origin Pitch,Joint Origin Yaw,Parent,Joint Axis X,Joint Axis Y,Joint Axis Z,Limit Effort,Limit Velocity,Limit Lower,Limit Upper,Calibration rising,Calibration falling,Dynamics Damping,Dynamics Friction,Safety Soft Upper,Safety Soft Lower,Safety K Position,Safety K Velocity
base_link,0.00026092,-2.8127E-06,-0.032217,0,0,0,3.5678,0.0065612,4.4129E-08,2.3273E-05,0.0047085,3.397E-08,0.0069901,0,0,0,0,0,0,package://dexbot/meshes/base_link.STL,1,1,1,1,0,0,0,0,0,0,package://dexbot/meshes/base_link.STL,,复件 leg_link_0^A_CHR_Whole_Body-1/CA_L_Step-1;复件 leg_link_0^A_CHR_Whole_Body-1/CA_L_Step-2;复件 leg_link_0^A_CHR_Whole_Body-1/JG_Link_0_A-1;复件 torso_link_0^A_CHR_Whole_Body-1,坐标系14,?????????7,leg_r1_joint,revolute,0,-0.046765,-0.027,0,0,0,base_link,0,0.86603,0.5,1000,10,-10,10,,,,,,,,
leg_l1_link,0.0017864690688535,0.116806232663126,-0.06730045557826,0,0,0,1.13342819677267,0.00196670859640554,-2.33218495432343E-05,1.3452344806652E-05,0.00172793327714985,9.61528924309511E-05,0.00161344798201193,0,0,0,0,0,0,package://dexbot/meshes/leg_l1_link.STL,0.752941176470588,0.752941176470588,0.752941176470588,1,0,0,0,0,0,0,package://dexbot/meshes/leg_l1_link.STL,,复件 leg_l_link_1^A_CHR_Whole_Body-1,坐标系2,基准轴1,leg_l1_joint,revolute,0,0.046765,-0.047489,0,0,0,base_link,0,0.86603,-0.5,360,10,-1.439,1.439,,,,,,,,
leg_l2_link,0.0181611526889743,7.56912721500136E-07,-0.100016047593423,0,0,0,0.913238705130297,0.00181442197722591,-1.20076390698225E-08,6.97256235896635E-05,0.00140769228146578,-1.25559515879189E-08,0.00110114112822574,0,0,0,0,0,0,package://dexbot/meshes/leg_l2_link.STL,0.752941176470588,0.752941176470588,0.752941176470588,1,0,0,0,0,0,0,package://dexbot/meshes/leg_l2_link.STL,,复件 leg_l_link_2^A_CHR_Whole_Body-1,坐标系3,基准轴2,leg_l2_joint,revolute,0,0.12298,-0.071,0,0,0,leg_l1_link,1,0,0,360,10,-1.831,0.261,,,,,,,,
leg_l3_link,0.000114524600190401,0.00164777125622231,-0.147066721883769,0,0,0,1.22872012343871,0.0018543575591529,-2.69225020415131E-05,-1.38781223574184E-07,0.00211370631961874,7.7919686842646E-09,0.0016378377804122,0,0,0,0,0,0,package://dexbot/meshes/leg_l3_link.STL,0.752941176470588,0.752941176470588,0.752941176470588,1,0,0,0,0,0,0,package://dexbot/meshes/leg_l3_link.STL,,复件 leg_l_link_3^A_CHR_Whole_Body-1,坐标系4,基准轴3,leg_l3_joint,revolute,0,0,-0.167,0,0,0,leg_l2_link,0,0,1,120,10,-1.395,1.395,,,,,,,,
leg_l4_link,-2.42788361047336E-08,0.00822937854237335,-0.173854656992678,0,0,0,1.67194168809766,0.00192866960685875,1.45675411582526E-10,3.648473073682E-10,0.00196255119756892,0.000146483353233838,0.00167542417634782,0,0,0,0,0,0,package://dexbot/meshes/leg_l4_link.STL,0.752941176470588,0.752941176470588,0.752941176470588,1,0,0,0,0,0,0,package://dexbot/meshes/leg_l4_link.STL,,复件 leg_l_link_4^A_CHR_Whole_Body-1,坐标系5,基准轴4,leg_l4_joint,revolute,0,0,-0.173,0,0,0,leg_l3_link,0,1,0,360,10,-1.1775,1.1775,,,,,,,,
leg_l5_link,4.00159781425996E-05,-1.65302931448563E-05,-0.00782114986776949,0,0,0,0.075265247925313,9.80058689164387E-06,2.28805291083391E-22,-1.34689956465523E-07,9.97846523726497E-06,-2.04482003272117E-20,7.80145298143013E-06,0,0,0,0,0,0,package://dexbot/meshes/leg_l5_link.STL,0.752941176470588,0.752941176470588,0.752941176470588,1,0,0,0,0,0,0,package://dexbot/meshes/leg_l5_link.STL,,复件 leg_l_link_5^A_CHR_Whole_Body-1,坐标系6,基准轴5,leg_l5_joint,revolute,0,0,-0.34,0,0,0,leg_l4_link,0,1,0,120,10,-0.523,0.218,,,,,,,,
leg_l6_link,0.0457872515086006,-6.33583149833861E-09,-0.0382686559903004,0,0,0,0.536405723760812,0.000243414730275823,-6.41793064473971E-11,-8.17985975814267E-06,0.00150831353191681,-5.36686897038477E-11,0.00171652929963519,0,0,0,0,0,0,package://dexbot/meshes/leg_l6_link.STL,0.752941176470588,0.752941176470588,0.752941176470588,1,0,0,0,0,0,0,package://dexbot/meshes/leg_l6_link.STL,,复件 leg_l_link_6^A_CHR_Whole_Body-1,坐标系7,基准轴6,leg_l6_joint,revolute,0,0,-0.015,0,0,0,leg_l5_link,1,0,0,120,10,-0.1308,0.1308,,,,,,,,
leg_r1_link,0.00178614318038721,-0.11680589348535,-0.0673010430487607,0,0,0,1.13342819681523,0.00196670859649331,2.33092920963081E-05,1.3470157359434E-05,0.00172789571676623,-9.61745779199515E-05,0.00161348554251093,0,0,0,0,0,0,package://dexbot/meshes/leg_r1_link.STL,0.752941176470588,0.752941176470588,0.752941176470588,1,0,0,0,0,0,0,package://dexbot/meshes/leg_r1_link.STL,,复件 leg_r_link_1^A_CHR_Whole_Body-1,坐标系8,基准轴7,leg_r1_joint,revolute,0,-0.046765,-0.047489,0,0,0,base_link,0,0.86603,0.5,360,10,-1.439,1.439,,,,,,,,
leg_r2_link,0.0181611526889737,7.56912739346971E-07,-0.100016047593425,0,0,0,0.913238705130297,0.00181442197722591,-1.20076390703697E-08,6.97256235896635E-05,0.00140769228146578,-1.25559515909478E-08,0.00110114112822574,0,0,0,0,0,0,package://dexbot/meshes/leg_r2_link.STL,0.752941176470588,0.752941176470588,0.752941176470588,1,0,0,0,0,0,0,package://dexbot/meshes/leg_r2_link.STL,,复件 leg_r_link_2^A_CHR_Whole_Body-1,坐标系9,基准轴8,leg_r2_joint,revolute,0,-0.12298,-0.071,0,0,0,leg_r1_link,1,0,0,360,10,-1.831,0.261,,,,,,,,
leg_r3_link,0.000114524600189936,-0.00164777130191504,-0.152066096139861,0,0,0,1.22872012343871,0.00185435755915289,2.69225022756163E-05,-1.8215223916171E-07,0.00211370631961874,7.79196869428363E-09,0.00163783778041219,0,0,0,0,0,0,package://dexbot/meshes/leg_r3_link.STL,0.752941176470588,0.752941176470588,0.752941176470588,1,0,0,0,0,0,0,package://dexbot/meshes/leg_r3_link.STL,,复件 leg_r_link_3^A_CHR_Whole_Body-1,坐标系10,基准轴9,leg_r3_joint,revolute,0,0,-0.162,0,0,0,leg_r2_link,0,0,1,120,10,-1.395,1.395,,,,,,,,
