Link Name,Center of Mass X,Center of Mass Y,Center of Mass Z,Center of Mass Roll,Center of Mass Pitch,Center of Mass Yaw,Mass,Moment Ixx,Moment Ixy,Moment Ixz,Moment Iyy,Moment Iyz,Moment Izz,Visual X,Visual Y,Visual Z,Visual Roll,Visual Pitch,Visual Yaw,Mesh Filename,Color Red,Color Green,Color Blue,Color Alpha,Collision X,Collision Y,Collision Z,Collision Roll,Collision Pitch,Collision Yaw,Collision Mesh Filename,Material Name,SW Components,Coordinate System,Axis Name,Joint Name,Joint Type,Joint Origin X,Joint Origin Y,Joint Origin Z,Joint Origin Roll,Joint Origin Pitch,Joint Origin Yaw,Parent,Joint Axis X,Joint Axis Y,Joint Axis Z,Limit Effort,Limit Velocity,Limit Lower,Limit Upper,Calibration rising,Calibration falling,Dynamics Damping,Dynamics Friction,Safety Soft Upper,Safety Soft Lower,Safety K Position,Safety K Velocity
base_link,-3.48018956624393E-05,-2.84321188719476E-06,-0.0116979631464324,0,0,0,3.52947718903377,0.00645372628861092,-4.39229938094597E-08,3.63021414293006E-06,0.00464557248338324,-3.43610141727091E-08,0.00687855495285789,0,0,0,0,0,0,package://CHR_Whole_Body_URDFeight/meshes/base_link.STL,0.752941176470588,0.752941176470588,0.752941176470588,1,0,0,0,0,0,0,package://CHR_Whole_Body_URDFeight/meshes/base_link.STL,,复件 leg_link_0^CHR_Whole_Body_URDF-1;复件 torso_link_0^CHR_Whole_Body_URDF-1,O0,,,,0,0,0,0,0,0,,0,0,0,,,,,,,,,,,,
leg_r_link_1,-0.000120571834449731,0.0026593623321376,-0.00778911360075069,0,0,0,1.11426940028164,0.00149086819206869,1.12433972807969E-08,-1.45397607116248E-06,0.00194741519268392,1.87710172856202E-08,0.00172885745659754,0,0,0,0,0,0,package://CHR_Whole_Body_URDFeight/meshes/leg_r_link_1.STL,0.752941176470588,0.752941176470588,0.752941176470588,1,0,0,0,0,0,0,package://CHR_Whole_Body_URDFeight/meshes/leg_r_link_1.STL,,复件 leg_r_link_1^CHR_Whole_Body_URDF-1,olr1,lr1,leg_r_joint_1,revolute,0,-0.16974,-0.098,3.1416,1.0472,1.5708,base_link,0,0,-1,360,100,0,2.8798,,,,,,,,
leg_r_link_2,7.56912708232971E-07,-0.100016047593421,0.0181611526889748,0,0,0,0.913238705130297,0.00140769228146578,1.25559515907722E-08,1.20076390701469E-08,0.00110114112822574,-6.97256235896633E-05,0.00181442197722591,0,0,0,0,0,0,package://CHR_Whole_Body_URDFeight/meshes/leg_r_link_2.STL,0.752941176470588,0.752941176470588,0.752941176470588,1,0,0,0,0,0,0,package://CHR_Whole_Body_URDFeight/meshes/leg_r_link_2.STL,,复件 leg_r_link_2^CHR_Whole_Body_URDF-1,olr2,lr2,leg_r_joint_2,revolute,0,0,0,-1.5707963267949,1.0471975511966,0,leg_r_link_1,0,0,-1,360,100,-3.6652,0.5236,,,,,,,,
leg_r_link_3,-0.000319246497954335,0.00245000457469349,-0.0263446828574121,0,0,0,1.20956132690512,0.0018006322148711,1.97555135501177E-08,-1.81945886267193E-07,0.00209441291580934,-8.18294789245919E-09,0.00156990751408306,0,0,0,0,0,0,package://CHR_Whole_Body_URDFeight/meshes/leg_r_link_3.STL,0.752941176470588,0.752941176470588,0.752941176470588,1,0,0,0,0,0,0,package://CHR_Whole_Body_URDFeight/meshes/leg_r_link_3.STL,,复件 leg_r_link_3^CHR_Whole_Body_URDF-1,olr3,lr3,leg_r_joint_3,revolute,0,-0.339999999999995,0,1.57079632679489,-1.5707963267949,0,leg_r_link_2,0,0,-1,120,120,-2.7925268032,2.7925268032,,,,,,,,
leg_r_link_4,0.173854656994346,2.42790782776735E-08,0.00822937854300151,0,0,0,1.67194168805267,0.0016754241763387,-3.64833965025317E-10,0.000146483353250035,0.00192866960680663,1.4568009318828E-10,0.00196255119751903,0,0,0,0,0,0,package://CHR_Whole_Body_URDFeight/meshes/leg_r_link_4.STL,0.752941176470588,0.752941176470588,0.752941176470588,1,0,0,0,0,0,0,package://CHR_Whole_Body_URDFeight/meshes/leg_r_link_4.STL,,复件 leg_r_link_4^CHR_Whole_Body_URDF-1,olr4,lr4,leg_r_joint_4,revolute,0,0,0,1.5708,-1.5708,0,leg_r_link_3,0,0,-1,360,110,0,2.3562,,,,,,,,
leg_r_link_5,0.00782114986776716,-4.00159781451196E-05,1.65302931611766E-05,0,0,0,0.075265247925313,7.80145298143014E-06,1.34689956465517E-07,-5.43413018924064E-21,9.80058689164388E-06,-8.84693663066212E-22,9.97846523726497E-06,0,0,0,0,0,0,package://CHR_Whole_Body_URDFeight/meshes/leg_r_link_5.STL,0.752941176470588,0.752941176470588,0.752941176470588,1,0,0,0,0,0,0,package://CHR_Whole_Body_URDFeight/meshes/leg_r_link_5.STL,,复件 leg_r_link_5^CHR_Whole_Body_URDF-1,olr5,lr5,leg_r_joint_5,revolute,0.34,0,0,3.1416,0,0,leg_r_link_4,0,0,1,120,120,-1.0472,0.43633,,,,,,,,
leg_r_link_6,0.0382686559902984,-6.33585389708813E-09,0.0457872515086032,0,0,0,0.536405723760811,0.00171652929963518,-5.3668691374774E-11,-8.17985975814149E-06,0.00150831353191681,6.41793100878411E-11,0.000243414730275823,0,0,0,0,0,0,package://CHR_Whole_Body_URDFeight/meshes/leg_r_link_6.STL,0.752941176470588,0.752941176470588,0.752941176470588,1,0,0,0,0,0,0,package://CHR_Whole_Body_URDFeight/meshes/leg_r_link_6.STL,,复件 leg_r_link_6^CHR_Whole_Body_URDF-1,olr6,lr6,leg_r_joint_6,revolute,0.015,0,0,1.5708,0,0,leg_r_link_5,0,0,1,120,120,0,0.2618,,,,,,,,
leg_l_link_1,0.000121261854437934,0.00265969382414037,-0.00778911359901943,0,0,0,1.11426940022449,0.0014908681919455,1.12434112410472E-08,1.49693441448733E-06,0.00194741519256862,2.07398193540585E-08,0.00172885745656924,0,0,0,0,0,0,package://CHR_Whole_Body_URDFeight/meshes/leg_l_link_1.STL,0.752941176470588,0.752941176470588,0.752941176470588,1,0,0,0,0,0,0,package://CHR_Whole_Body_URDFeight/meshes/leg_l_link_1.STL,,复件 leg_l_link_1^CHR_Whole_Body_URDF-1,oll1,ll1,leg_l_joint_1,revolute,0,0.16974097914175,-0.0979999999999996,3.14159265358979,-1.0471975511966,1.5707963267949,base_link,0,0,-1,360,100,-2.8797932658,2.8797932658,,,,,,,,
leg_l_link_2,7.56912704041879E-07,-0.100016047593422,0.0181611526889747,0,0,0,0.913238705130297,0.00140769228146578,1.25559515874815E-08,1.2007639069512E-08,0.00110114112822574,-6.97256235896633E-05,0.00181442197722591,0,0,0,0,0,0,package://CHR_Whole_Body_URDFeight/meshes/leg_l_link_2.STL,0.752941176470588,0.752941176470588,0.752941176470588,1,0,0,0,0,0,0,package://CHR_Whole_Body_URDFeight/meshes/leg_l_link_2.STL,,复件 leg_l_link_2^CHR_Whole_Body_URDF-1,oll2,ll2,leg_l_joint_2,revolute,0,0,0,-1.5707963267949,-1.0471975511966,0,leg_l_link_1,0,0,-1,360,100,-3.6651914292,0.5235987756,,,,,,,,
leg_l_link_3,-0.000319246497954566,-0.00245000452822633,-0.026344047199364,0,0,0,1.20956132690512,0.00180063221487111,-1.97552794471907E-08,-1.38987576468007E-07,0.00209441291580935,-8.18294787532023E-09,0.00156990751408306,0,0,0,0,0,0,package://CHR_Whole_Body_URDFeight/meshes/leg_l_link_3.STL,0.752941176470588,0.752941176470588,0.752941176470588,1,0,0,0,0,0,0,package://CHR_Whole_Body_URDFeight/meshes/leg_l_link_3.STL,,复件 leg_l_link_3^CHR_Whole_Body_URDF-1,oll3,ll3,leg_l_joint_3,revolute,0,-0.34,0,1.5707963267949,-1.5707963267949,0,leg_l_link_2,0,0,-1,120,120,-2.7925,2.7925,,,,,,,,
leg_l_link_4,0.173854656992676,2.42788353017565E-08,0.00822937854235586,0,0,0,1.67194168809766,0.00167542417634782,-3.64847306944557E-10,0.000146483353233838,0.00192866960685875,1.45675412003822E-10,0.00196255119756892,0,0,0,0,0,0,package://CHR_Whole_Body_URDFeight/meshes/leg_l_link_4.STL,0.752941176470588,0.752941176470588,0.752941176470588,1,0,0,0,0,0,0,package://CHR_Whole_Body_URDFeight/meshes/leg_l_link_4.STL,,复件 leg_l_link_4^CHR_Whole_Body_URDF-1,oll4,ll4,leg_l_joint_4,revolute,0,0,0,1.5708,-1.5708,0,leg_l_link_3,0,0,-1,360,110,0,2.3562,,,,,,,,
leg_l_link_5,0.0078211498677675,-4.00159781435372E-05,-1.65302931622313E-05,0,0,0,0.075265247925313,7.80145298143014E-06,1.34689956465523E-07,-1.9576335377004E-20,9.80058689164387E-06,2.116138553478E-23,9.97846523726497E-06,0,0,0,0,0,0,package://CHR_Whole_Body_URDFeight/meshes/leg_l_link_5.STL,0.752941176470588,0.752941176470588,0.752941176470588,1,0,0,0,0,0,0,package://CHR_Whole_Body_URDFeight/meshes/leg_l_link_5.STL,,复件 leg_l_link_5^CHR_Whole_Body_URDF-1,oll5,ll5,leg_l_joint_5,revolute,0.34,0,0,0,0,0,leg_l_link_4,0,0,1,120,120,-1.0472,0.43633,,,,,,,,
leg_l_link_6,0.0382686559902994,6.33584565368217E-09,-0.0457872515086014,0,0,0,0.536405723760813,0.00171652929963519,5.36686897777781E-11,8.17985975814242E-06,0.00150831353191681,6.41793052174363E-11,0.000243414730275823,0,0,0,0,0,0,package://CHR_Whole_Body_URDFeight/meshes/leg_l_link_6.STL,0.752941176470588,0.752941176470588,0.752941176470588,1,0,0,0,0,0,0,package://CHR_Whole_Body_URDFeight/meshes/leg_l_link_6.STL,,复件 leg_l_link_6^CHR_Whole_Body_URDF-1,oll6,ll6,leg_l_joint_6,revolute,0.015,0,0,-1.5708,0,0,leg_l_link_5,0,0,1,120,120,-0.2618,0.2618,,,,,,,,
